,0
num__units_consumed,5098.423532750361
num__unit_cost,147.39560323181104
cat__apartment_code_D13A,84.94743272655646
cat__apartment_code_B31,57.19042794723977
cat__apartment_code_C41,53.06797004386122
cat__apartment_code_A41,45.63036172184058
cat__apartment_code_B41,42.60091343210521
cat__apartment_code_D23B,41.30498272456801
num__abs_deviation,39.01032051123663
cat__apartment_code_D21,34.25494005705474
cat__apartment_code_A23,32.45676313961129
cat__apartment_code_A11,31.786136232160594
cat__apartment_code_A12,30.678563326427614
cat__apartment_code_A22,30.01784664167069
cat__apartment_code_D12,28.930804970148817
cat__apartment_code_B33,24.36794289725339
cat__apartment_code_C34,22.001245793780107
cat__apartment_code_D13B,20.879378199358012
cat__apartment_code_B43,18.547660883185557
cat__apartment_code_C12,17.73748505747722
