billing_period,actual,predicted
2026-02,193302.35,196032.28811770194
2026-03,255086.1,265702.47239464865
2026-04,296401.0,285301.9182403973
2026-05,361890.05,319948.7334279354
2026-06,363446.0,340454.693844139
2026-07,363446.0,348485.4987524058
