,0
prior_unpaid,0.09028405742756998
prior_unpaid_ratio,0.035459970479032085
credit_days,0.02286778074147915
rent_amount,0.015038245921396775
has_other_charges,0.011893529565744455
other_charges,0.011890454388422044
total_amount,0.011634446440261325
rent_growth,0.0028714408019408833
elec_share,0.0021685669452984556
is_new_tenant,0.001394863811709901
prior_invoices,0.0007637309067273446
year,0.0
quarter,0.0
invoice_month_num,-0.00025528086836232864
month_num,-0.00025528086836232864
electricity_amount,-0.0020165627418610387
