,0
num__units_consumed,2859.6895659586753
num__apt_avg_units,504.0969726883552
num__abs_deviation,161.72992004413652
num__unit_cost,119.88906247067456
num__high_usage_flag,45.97243342526937
cat__apartment_code_D23B,13.65232561880014
cat__apartment_code_D13A,11.354975816566261
num__month_num,10.464171056005751
num__year,5.648326849504626
cat__apartment_code_D12,1.974934824361812
cat__apartment_code_A11,1.9506514834575668
cat__apartment_code_C41,1.689912923997887
cat__apartment_code_A41,1.5511126921480853
cat__apartment_code_C12,0.6755051802692662
cat__apartment_code_D21,0.6195987217449255
cat__apartment_code_A44,0.557818035854916
cat__apartment_code_C42,0.5563132148088831
cat__apartment_code_D13B,0.5168180581267388
cat__apartment_code_B22,0.4382880889960568
cat__apartment_code_A22,0.39805170735936046
