billing_period,actual,predicted
2026-02,2742922.0,2698118.0
2026-03,2865242.0,2737400.0
2026-04,2942092.0,2868547.0
2026-05,3209053.0,2944133.0
2026-06,3317353.0,3128749.0
2026-07,2967787.0,2989809.0
