Model,Accuracy,Precision,Recall,F1,ROC_AUC,CV_f1
NaiveBayes,0.749812734082397,0.7626774847870182,0.6340640809443507,0.6924493554327809,0.7319082012518011,0.2989363246920786
DecisionTree,0.6307116104868914,0.8571428571428571,0.20236087689713322,0.3274215552523875,0.5875897146857088,0.3967248190101307
ExtraTrees,0.6187265917602996,0.868421052631579,0.16694772344013492,0.28005657708628007,0.8438703108593975,0.4868198905680604
LightGBM,0.6187265917602996,0.875,0.16526138279932545,0.27801418439716313,0.749511370299496,0.43413778482269205
CatBoost,0.6097378277153558,0.8673469387755102,0.1433389544688027,0.2460202604920405,0.7738996740953532,0.47119911208546944
XGBoost,0.6074906367041198,0.8709677419354839,0.13659359190556492,0.23615160349854228,0.7488602428148707,0.45149352931262826
GradientBoosting,0.6112359550561798,0.9302325581395349,0.13490725126475547,0.23564064801178203,0.7366819997909119,0.4371640759745703
RandomForest,0.6067415730337079,0.8777777777777778,0.13322091062394603,0.23133235724743778,0.7829450052953822,0.37976108904408235
KNN,0.6022471910112359,0.9558823529411765,0.10961214165261383,0.19667170953101362,0.6578796652772916,0.4530664954149106
SVM,0.597752808988764,0.9666666666666667,0.09780775716694773,0.1776416539050536,0.6399992272832643,0.3797149566830462
AdaBoost,0.5887640449438202,0.7972972972972973,0.09949409780775717,0.17691154422788605,0.7527988254705619,0.3381658715961042
LogisticRegression,0.5932584269662922,0.890625,0.09612141652613827,0.1735159817351598,0.6643875310791216,0.5063531692808165
