tenant_id,segment,tenure_months,total_billed,avg_rent,unpaid_ratio,invoices,ltv_paid
10916e3e-90d8-8084-d782-fd32d48def20,0,3,53078.13,16258.376666666665,0.0,3,53078.13
10f3edc6-4b03-b82d-8df1-09ddaf031c0c,1,39,624973.0,14336.74358974359,0.05128205128205128,39,600200.0
110a92b5-de7a-739b-61d2-1bc6c35ab264,0,1,15850.0,13600.0,0.0,1,15850.0
11316c38-dc08-4983-3588-fcadd88bd5d2,0,12,175399.0,12355.846153846154,0.23076923076923078,13,128976.0
117c6d3e-f4d8-3338-57db-8e4c2f7d0dc2,0,2,15430.0,6100.0,0.0,2,15430.0
11c59c47-e61b-cafc-82c5-d4ec94db50b8,0,8,96556.0,10727.0,0.0,8,96556.0
11e59c65-004e-4eea-a733-d3a6a7c65fb1,0,2,33310.0,15500.0,0.5,2,15500.0
11e96dd2-92f4-f793-56db-439d5b3de156,0,12,190535.0,14916.666666666666,0.25,12,139207.0
1218c50c-4da4-4f61-baec-5182a25958e3,0,3,29835.0,9290.333333333334,0.6666666666666666,3,871.0
122c395f-56fd-4482-fe33-7fa3c3cd30b5,1,15,228110.0,14001.6,0.2,15,184959.0
1261d726-9481-43dd-bac5-f1b158c8ab32,0,3,43751.0,12161.666666666666,0.6666666666666666,3,12630.0
1287ac56-adee-78b5-6a6b-56b3e8dd7d48,1,18,272359.0,14279.555555555555,0.16666666666666666,18,225160.0
128bd731-e1fe-63b6-3451-759840d80453,0,4,49821.0,10750.0,0.0,4,49821.0
129ef14d-110f-8fd6-f39d-ee91d11e0151,0,1,2250.0,0.0,1.0,1,0.0
1360848f-3f38-fcda-2ca5-ffb5b90fcacc,0,7,58643.0,13112.75,0.0,4,58643.0
1382b8e8-f0c7-da45-7642-d77de8b58e14,0,4,58932.0,13355.75,0.0,4,58932.0
139a98f5-3c60-b2a1-8a36-2cb00cbb30aa,0,3,45106.0,12391.0,0.0,3,45106.0
1422ace8-beea-6d1b-73fd-1d30597b40d5,0,5,98620.0,12535.714285714286,0.5714285714285714,7,62422.0
146a8458-f956-54ed-317f-b99f7d16fff8,1,26,416952.0,14853.846153846154,0.11538461538461539,26,365660.0
148cb172-cc40-9c01-ffa5-33aa5d70bad8,1,20,267945.0,13052.833333333334,0.0,18,267945.0
14b45048-20d5-74f7-f9ff-825c862c3dd5,0,7,102942.0,13251.142857142857,0.0,7,102942.0
14fd9ca9-7868-7a27-8b3c-607c31c9e161,0,6,98484.0,14588.666666666666,0.0,6,98484.0
1508bfaf-482c-c63e-34e7-470ad5fbc8dd,0,6,73022.0,10212.333333333334,0.0,6,73022.0
15957cb2-619d-197c-d37d-3de345a2eaf2,0,4,64474.0,14405.5,0.0,4,64474.0
15ff5934-5a4f-43fb-8bf6-4d798bd6a28b,0,2,18965.0,7750.0,0.5,2,13950.0
1604768e-85d5-4c44-882a-b748eddc1f37,0,2,16136.0,7975.0,0.5,2,1450.0
