,0
num__rent_amount,3074.891
num__electricity_amount,1396.8853
num__elec_share,704.9912
num__prior_invoices,42.548203
num__month_num,28.843668
num__year,25.90471
num__credit_days,18.30781
num__prior_unpaid_ratio,4.572592
num__prior_unpaid,0.7414452
num__quarter,0.0
num__is_new_tenant,0.0
