,0
num__year,1.944883
num__other_charges,0.86046535
num__invoice_month_num,0.77877283
num__rent_amount,0.47035146
num__prior_unpaid,0.40244842
num__total_amount,0.3791193
num__prior_invoices,0.3621271
num__prior_unpaid_ratio,0.31654096
num__electricity_amount,0.3154056
num__elec_share,0.20254877
num__rent_growth,0.14470397
num__credit_days,0.0640881
num__quarter,0.0
num__month_num,0.0
num__has_other_charges,0.0
num__is_new_tenant,0.0
