iter	Passed	Remaining
0	3	1142
1	6	992
2	10	1047
3	13	998
4	16	977
5	19	956
6	22	939
7	27	987
8	29	965
9	33	973
10	36	964
11	40	963
12	43	959
13	46	946
14	49	932
15	52	923
16	56	942
17	59	936
18	64	955
19	68	959
20	73	974
21	76	967
22	78	947
23	82	952
24	84	929
25	89	948
26	91	929
27	93	912
28	95	890
29	96	871
30	98	858
31	104	872
32	106	859
33	108	846
34	109	825
35	110	813
36	112	800
37	114	787
38	115	774
39	118	773
40	120	761
41	122	750
42	123	737
43	124	726
44	126	716
45	128	708
46	129	698
47	131	690
48	134	690
49	136	682
50	138	674
51	139	665
52	141	657
53	142	650
54	144	643
55	145	636
56	149	636
57	151	632
58	153	626
59	154	619
60	155	609
61	158	607
62	160	602
63	161	597
64	167	604
65	168	598
66	171	595
67	173	592
68	175	588
69	177	583
70	182	589
71	183	581
72	185	576
73	187	571
74	188	566
75	190	561
76	192	556
77	193	549
78	198	556
79	200	551
80	202	546
81	203	542
82	205	537
83	207	532
84	208	528
85	209	522
86	214	525
87	217	522
88	218	518
89	221	515
90	222	511
91	225	508
92	229	510
93	231	507
94	233	503
95	234	498
96	236	495
97	238	492
98	240	488
99	244	489
100	246	486
101	249	483
102	251	480
103	252	476
104	254	473
105	256	470
106	260	470
107	262	466
108	265	465
109	270	467
110	271	462
111	272	457
112	280	464
113	282	461
114	285	458
115	286	454
116	288	451
117	293	452
118	294	448
119	296	445
120	299	442
121	300	438
122	302	435
123	304	431
124	307	430
125	308	426
126	310	423
127	312	419
128	313	415
129	314	411
130	316	408
131	317	404
132	318	400
133	319	395
134	323	395
135	325	392
136	326	388
137	328	385
138	330	382
139	331	378
140	331	374
141	333	371
142	334	367
143	340	368
144	342	365
145	343	362
146	344	359
147	346	356
148	347	352
149	348	348
150	349	344
151	350	341
152	354	340
153	356	337
154	357	334
155	358	330
156	360	328
157	362	325
158	363	322
159	365	319
160	370	319
161	372	317
162	373	314
163	375	311
164	376	308
165	378	305
166	379	302
167	381	299
168	385	298
169	387	296
170	389	293
171	390	290
172	392	288
173	393	285
174	395	282
175	397	279
176	401	278
177	402	275
178	404	273
179	405	270
180	407	267
181	408	265
182	410	262
183	412	260
184	415	258
185	417	255
186	418	253
187	420	250
188	421	247
189	422	244
190	423	241
191	425	239
192	426	236
193	428	234
194	431	232
195	432	229
196	434	227
197	435	224
198	437	222
199	439	219
200	440	217
201	442	214
202	443	212
203	447	210
204	448	208
205	450	205
206	451	203
207	453	200
208	454	197
209	455	195
210	456	192
211	458	190
212	462	188
213	464	186
214	466	184
215	467	181
216	468	179
217	470	176
218	471	174
219	473	172
220	474	169
221	476	167
222	478	165
223	479	162
224	481	160
225	482	157
226	483	155
227	485	153
228	486	150
229	488	148
230	489	146
231	490	143
232	492	141
233	494	139
234	495	137
235	497	134
236	499	132
237	500	130
238	501	128
239	503	125
240	504	123
241	506	121
242	508	119
243	510	117
244	511	114
245	513	112
246	514	110
247	516	108
248	518	106
249	519	103
250	521	101
251	523	99
252	525	97
253	527	95
254	528	93
255	530	91
256	532	89
257	533	86
258	535	84
259	537	82
260	539	80
261	540	78
262	542	76
263	544	74
264	545	72
265	547	69
266	549	67
267	550	65
268	552	63
269	555	61
270	556	59
271	558	57
272	559	55
273	560	53
274	562	51
275	563	48
276	564	46
277	566	44
278	568	42
279	570	40
280	571	38
281	573	36
282	575	34
283	577	32
284	578	30
285	580	28
286	581	26
287	583	24
288	584	22
289	586	20
290	588	18
291	589	16
292	591	14
293	593	12
294	594	10
295	596	8
296	597	6
297	600	4
298	601	2
299	602	0
292	969	23
293	973	19
294	978	16
295	983	13
296	985	9
297	988	6
298	993	3
299	998	0
9
297	987	6
298	992	3
299	995	0
