iter	RMSE
0	4911.709518
1	4765.698774
2	4620.97523
3	4479.422428
4	4350.326366
5	4220.997091
6	4111.892638
7	3996.021817
8	3892.913859
9	3784.970499
10	3684.708596
11	3585.902967
12	3491.377665
13	3410.628707
14	3325.748394
15	3298.359273
16	3217.191248
17	3144.227745
18	3117.475688
19	3091.977755
20	3066.716493
21	3003.898184
22	2979.182121
23	2954.465294
24	2931.760947
25	2861.274613
26	2795.872286
27	2742.117638
28	2719.530688
29	2697.419407
30	2675.626774
31	2653.02678
32	2629.63412
33	2607.776815
34	2587.418535
35	2564.72941
36	2543.973917
37	2476.378492
38	2455.173859
39	2398.626049
40	2337.660759
41	2316.750273
42	2297.481512
43	2256.205453
44	2237.955953
45	2219.54898
46	2202.271985
47	2155.770113
48	2137.195501
49	2120.823568
50	2072.387561
51	2056.381025
52	2005.842385
53	1964.064094
54	1947.534959
55	1932.200887
56	1916.269102
57	1900.072628
58	1867.757279
59	1852.542855
60	1838.29238
61	1822.96135
62	1792.771037
63	1755.742919
64	1739.814049
65	1726.489167
66	1711.929112
67	1698.982374
68	1662.382232
69	1630.487086
70	1616.493012
71	1604.143691
72	1590.625837
73	1577.458877
74	1565.665682
75	1552.696171
76	1515.935476
77	1504.788002
78	1478.802232
79	1467.593698
80	1430.968721
81	1398.831507
82	1388.126083
83	1377.345419
84	1366.570771
85	1355.947838
86	1329.770152
87	1303.613881
88	1292.333742
89	1281.614675
90	1271.569034
91	1261.923527
92	1235.247295
93	1225.937434
94	1216.463888
95	1207.081274
96	1184.463359
97	1175.202645
98	1166.220825
99	1157.685822
100	1132.223194
101	1104.512684
102	1083.774626
103	1074.553041
104	1065.008744
105	1057.121279
106	1049.264763
107	1041.703586
108	1033.585966
109	1026.126101
110	1019.049441
111	1012.09327
112	1004.801551
113	981.8305563
114	957.8025341
115	950.7046967
116	929.2555085
117	922.4779016
118	915.9507532
119	908.6433008
120	901.4282029
121	880.2299138
122	873.7218996
123	853.0942214
124	845.6888682
125	839.1196784
126	832.7499517
127	826.9718637
128	821.0378075
129	815.5226568
130	797.1093229
131	791.7191821
132	785.9071689
133	780.7499256
134	775.6045815
135	758.7531886
136	753.7770107
137	736.7479412
138	720.1952008
139	715.3563029
140	710.5912001
141	705.6547363
142	700.9950241
143	685.0415546
144	669.8448774
145	665.2243488
146	660.7642554
147	645.8969963
148	641.6094247
149	637.4056052
150	633.2875809
151	629.1929479
152	624.9193848
153	620.9749987
154	616.9239646
155	612.938122
156	608.2134753
157	594.3317067
158	580.8534423
159	575.9152615
160	563.1334991
161	558.8455547
162	555.1492646
163	551.6705596
164	548.2810206
165	544.8605493
166	541.5816871
167	538.0008689
168	525.2929364
169	521.9630162
170	518.8496044
171	515.5050101
172	503.6605688
173	500.0232776
174	496.5659882
175	485.7826549
176	482.6757728
177	479.780321
178	469.465429
179	466.6054173
180	463.7620814
181	460.5179669
182	450.6784827
183	447.9196266
184	445.0952885
185	442.485406
186	432.8869564
187	430.2438225
188	427.7316728
189	425.4067566
190	422.9561018
191	414.1032749
192	411.7133196
193	409.3527346
194	407.0826869
195	404.8646202
196	396.7186785
197	394.5265741
198	386.1987432
199	384.082759
200	381.9836562
201	379.9275544
202	372.2198077
203	370.1052376
204	368.1448102
205	366.2247372
206	359.0133131
207	352.2924048
208	350.3430052
209	348.5279354
210	346.7873774
211	344.9950562
212	338.6955394
213	337.0023533
214	330.8092809
215	329.1802052
216	327.5206003
217	325.9372127
218	319.9403927
219	314.594038
220	313.0982489
221	311.6035793
222	310.1402173
223	305.0667984
224	303.5863192
225	302.1963213
226	300.8356256
227	295.941036
228	294.5543305
229	289.467823
230	288.1824744
231	286.8764647
232	285.5992876
233	284.324607
234	283.0775992
235	278.6116916
236	277.4007319
237	272.8247847
238	271.6753029
239	267.6398755
240	266.5310905
241	262.2622574
242	258.3425463
243	257.2856002
244	256.2520508
245	255.1946577
246	251.3506225
247	250.3997678
248	246.8873896
249	245.9452379
250	242.4230354
251	241.4546202
252	240.5483778
253	239.6761617
254	238.8328712
255	237.9378965
256	234.4422297
257	231.6132014
258	230.8280159
259	230.0484563
260	226.8716358
261	226.1270753
262	223.3152046
263	220.2243495
264	219.4963639
265	218.7987212
266	216.4350581
267	215.7514557
268	213.5480795
269	212.90124
270	212.2689035
271	210.13864
272	209.537728
273	208.9502316
274	208.3758749
275	207.814387
276	207.2515122
277	206.7150148
278	204.3389758
279	203.8214521
280	203.31524
281	201.1009758
282	198.7513688
283	198.1933266
284	196.1370079
285	195.6719339
286	195.2174748
287	193.4576482
288	193.0202712
289	192.5832108
290	190.6686649
291	190.1931755
292	189.7823969
293	187.9585541
294	185.9789424
295	185.5866215
296	185.1553725
297	183.2823043
298	182.9218475
299	182.5702432
